core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
TVG11,grab,0,5,-20.9281,-176.241,2254,0.695484416,0.427925308,0.059960351,0.072626693,0.008357174,0.375170645,0.055959829,0.364692639,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
TVG14,grab,0,5,-20.6854,-176.185,2249,0.670808951,0.327639013,0.076111359,0.086292001,0.009768064,0.441153732,0.059035831,0.211841502,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
TVG2,grab,0,5,-19.7418,-175.956,2350,0.734538756,0.279253872,0.074106652,0.10925325,0.011037103,0.441584276,0.084764846,0.203587729,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
TVG5,grab,0,5,-22.5338,-176.711,1885,0.718434024,0.237840415,0.059831068,0.081706236,0.009628297,0.549665628,0.061328356,0.488637783,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
TVG6,grab,0,5,-22.5318,-176.716,1868,0.731429918,0.297734701,0.086441797,0.13749347,0.014252797,0.380405929,0.083671305,0.331563598,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
TVG8,grab,0,5,-22.2158,-176.607,1744,0.685024605,0.393540816,0.094135827,0.122392524,0.018601607,0.307591945,0.063737282,0.56035314,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012
S017,,0,1,20.25,119.5,2800,0.726775956,0.182,0.05,0.064,0.011,0.635,0.058,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S031,,0,1,10.5,111,2521,0.735751295,0.176,0.051,0.07,0.011,0.63,0.061,0.13,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S052,,0,1,7.25,115.5,1609,0.756613757,0.152,0.046,0.068,0.016,0.66,0.059,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S072,,0,1,20.65,119.09,3447,0.706185567,0.204,0.057,0.07,0.012,0.602,0.055,0.22,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S098,,0,1,19.31,119.88,4182,0.727272727,0.181,0.048,0.065,0.012,0.642,0.051,0.23,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S137,,0,1,17.28,118.36,3986,0.725274725,0.194,0.05,0.063,0.009,0.625,0.06,0.23,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S181,,0,1,17.29,117.84,3960,0.743455497,0.18,0.049,0.072,0.009,0.628,0.061,0.22,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
S199,,0,1,16.17,118.93,3675,0.74,0.177,0.052,0.076,0.009,0.622,0.063,0.11,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17941,BC,0,1,21.52,118.48,2201,0.710784314,0.2,0.059,0.078,0.011,0.597,0.056,0.14,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17942,BC,0,1,19.33,113.2,329,0.718232044,0.169,0.051,0.063,0.014,0.651,0.053,0.07,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17943,BC,0,1,18.95,117.55,917,0.720930233,0.193,0.06,0.077,0.013,0.593,0.065,0.11,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17944,BC,0,1,18.66,113.64,1219,0.691919192,0.197,0.061,0.073,0.01,0.604,0.054,0.08,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17945,BC,0,1,18.13,113.78,2404,0.658031088,0.193,0.066,0.07,0.009,0.613,0.048,0.05,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17946,BC,0,1,18.13,114.25,3465,0.712041885,0.217,0.055,0.073,0.009,0.592,0.054,0.22,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17947,BC,0,1,18.47,116.03,3765,0.721238938,0.2,0.063,0.086,0.012,0.575,0.065,0.07,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17948,BC,0,1,16.71,114.9,2841,0.707692308,0.213,0.057,0.073,0.011,0.592,0.054,0.25,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
