# NICOPP Global Ocean Sediment Nitrogen Isotope Database
#----------------------------------------------------------------------- 
#               World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data, 
# plus the Online Resource and date accessed.
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14114
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/nicopp/nicopp-coretop-data.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#--------------------
# Contribution_Date
#	Date: 2013-03-12 
#--------------------
# Title
#	Study_Name: NICOPP Global Ocean Sediment Nitrogen Isotope Database
#--------------------
# Investigators
#	Investigators: Tesdal, J.-E.; Galbraith, E.D.; Kienast, M.
#--------------------
# Description_and_Notes
# 
# Nitrogen Cycle in the Ocean, Past and Present (NICOPP) database of global ocean marine sedimentary d15N measurements, 
# from both seafloor samples and subseafloor records.
#
# NICOPP is a joint working group of PAGES and IMAGES. NICOPP studies Nitrogen isotope (d15N) dynamics as recorded in 
# the sedimentary record in order to learn about the dynamics of the marine nutrient cycle in the Quaternary and the present. 
# For the seafloor compilation, d15N is given as point measurements along with the corresponding latitude and longitude. 
# Currently, it contains data from about 2,300 samples. The subseafloor compilation includes almost all bulk marine 
# sedimentary d15N records published in the literature. Along with the d15N measurements, we included the corresponding 
# sediment depth, a published age model (if available), nitrogen content (N%), total organic carbon content (Corg%), 
# and dry bulk density. There are currently about 140 d15N records included in the database. The timespans of the given 
# records range from a few hundred years to four million years.
#
# More information on NICOPP: http://www.pages-igbp.org/index.php/workinggroups/nicopp
#
#--------------------
# Publication
#	Authors: J.-E. Tesdal, E.D. Galbraith, and M. Kienast
#       Published_Date_or_YEAR: 2013-01-09
#	Published_Title: Nitrogen isotopes in bulk marine sediment: linking seafloor observations with subseafloor records
#	Journal_Name: Biogeosciences 
#	Volume: 10
#	Issue: 1
#	Pages: 101-118
#	DOI: 10.5194/bg-10-101-2013
#	Abstract: The stable isotopes of nitrogen offer a unique perspective on changes in the nitrogen cycle, past and present. However, the presence of multiple forms of nitrogen in marine sediments can complicate the interpretation of bulk nitrogen isotope measurements. Although the large-scale global patterns of seafloor d15N have been shown to match process-based expectations, small-scale heterogeneity on the seafloor, or alterations of isotopic signals during translation into the subseafloor record, could obscure the primary signals. Here, a public database of nitrogen isotope measurements is described, including both seafloor and subseafloor sediment samples ranging in age from modern to the Pliocene, and used to assess these uncertainties. In general, good agreement is observed between neighbouring seafloor sites within a 100 km radius, with 85% showing differences of < 1 per mil. There is also a good correlation between the d15N of the shallowest (< 5 ka) subseafloor sediments and neighbouring seafloor sites within a 100 km radius (R2 = 0.83), which suggests a reliable translation of sediments into the buried sediment record. Meanwhile, gradual d15N decreases over multiple glacial-interglacial cycles appear to reflect post-depositional alteration in records from the deep sea (below 2000 m). We suggest a simple conceptual model to explain these 100-kyr-timescale changes in well-oxygenated, slowly accumulating sediments, which calls on differential loss rates for pools of organic N with different d15N. We conclude that bulk sedimentary nitrogen isotope records are reliable monitors of past changes in the marine nitrogen cycle at most locations, and could be further improved with a better understanding of systematic post-depositional alteration. Furthermore, geochemical or environmental criteria should be developed in order to effectively identify problematic locations and to account for confounding influences where possible.
#
#---------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant:  
#-------------------- 
# Site_Information 
#       Site_Name:  
#	Location:      
#	Country:  
#	Northernmost_Latitude:  
# 	Southernmost_Latitude:  
# 	Easternmost_Longitude:  
# 	Westernmost_Longitude:   
# 	Elevation:   m 
#------------------   
# Data_Collection  
#	Core_Name:  
#	First_Year:   
#	Last_Year:  
#	Time_Unit:   
#	Core_Length:    
#	Notes: 
#------------------
# Chronology 
#
# 
# 
#------------------
# Variables
# 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data) 
# Data line format: tab-delimited text, variable short name as header
# 
## core_id	Core ID, , , , , , , , C
## water_depth_m	Water Depth, , , m, , , , , N
## lon 	Longitude, , , deg, , , , , N
## lat 	Latitude, , , deg, , , , , N
## d15N	delta N15, , , permil, , , , , N
## ocean	Ocean, , , , , , , , C
## reference	Author/Reference, , , , , , , , C
## tag	Acidified Tag, , , , , , , , C
#
#------------------
# Data:
# Missing_Values: NA
core_id		water_depth_m	lon	lat	d15N	ocean	reference	tag
2502G		280	68.00000	21.80000	7.400	Indian	Gaye-Haake et al. (2005)	
2503G		480	69.40000	19.90000	9.000	Indian	Gaye-Haake et al. (2005)	
2506G		300	73.00000	15.20000	6.400	Indian	Gaye-Haake et al. (2005)	
3266G		580	75.50000	10.30000	8.400	Indian	Gaye-Haake et al. (2005)	
3268G5		600	74.20000	12.50000	5.900	Indian	Gaye-Haake et al. (2005)	
3368G2		370	74.10000	12.50000	6.600	Indian	Gaye-Haake et al. (2005)	
A/B	155	671	65.22967	25.04233	10.430	Indian	Gaye-Haake et al. (2005)	
CAST		3950	64.57800	14.43700	11.370	Indian	Gaye-Haake et al. (2005)	
EAST		3820	68.58500	15.59200	9.790	Indian	Gaye-Haake et al. (2005)	
Hab trans B	142	865	65.82050	24.77583	10.260	Indian	Gaye-Haake et al. (2005)	
Hab trans B	035 KG	416	66.00000	24.86600	8.330	Indian	Gaye-Haake et al. (2005)	
Hab trans B	039	704	65.91683	24.83333	9.440	Indian	Gaye-Haake et al. (2005)	
Hab trans B	042 KG	313	65.98400	24.60900	8.710	Indian	Gaye-Haake et al. (2005)	
Hab trans B	044 KG	258	66.02500	24.61700	8.830	Indian	Gaye-Haake et al. (2005)	
Hab trans B	046 KG	1657	65.69000	24.55300	8.180	Indian	Gaye-Haake et al. (2005)	
Hab trans B	053	825	65.91650	24.80983	9.890	Indian	Gaye-Haake et al. (2005)	
Hab trans B	058	876	65.81967	24.77667	9.710	Indian	Gaye-Haake et al. (2005)	
Hab trans B	064 KG	92	66.19800	24.95700	8.770	Indian	Gaye-Haake et al. (2005)	
Hab trans B	066 KG	119	66.15500	24.63900	9.330	Indian	Gaye-Haake et al. (2005)	
Hab trans B	072 KG	1403	65.75600	24.65200	8.520	Indian	Gaye-Haake et al. (2005)	
Hab trans B	076 KG	1168	65.68700	24.67700	8.230	Indian	Gaye-Haake et al. (2005)	
Hab trans B	079 KG	1970	65.58600	24.60700	8.430	Indian	Gaye-Haake et al. (2005)	
Hab trans B	085 KG	2881	65.02600	24.43500	7.710	Indian	Gaye-Haake et al. (2005)	
Hab trans B	143 KG	1281	65.73900	24.75000	8.470	Indian	Gaye-Haake et al. (2005)	
Hab trans B	144 KG	1943	65.58500	24.77300	8.780	Indian	Gaye-Haake et al. (2005)	
Hab trans B	158 KG	97	66.15300	24.93200	9.400	Indian	Gaye-Haake et al. (2005)	 
Hab trans B	1MCob	1256	65.77300	24.74700	7.710	Indian	Gaye-Haake et al. (2005)	
Hab trans B	3MCob	247	66.07700	24.63200	8.240	Indian	Gaye-Haake et al. (2005)	
Hab trans B	5MCob	386	66.04800	24.64000	8.500	Indian	Gaye-Haake et al. (2005)	
Hab trans B	6MCob	543	66.01700	24.65300	8.430	Indian	Gaye-Haake et al. (2005)	
IIOE	105-KG	3328	53.54000	11.27000	8.760	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	125-KG	854	49.14000	5.67000	6.080	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	129-KG	4719	50.48000	5.07000	9.160	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	132-KG	4614	49.08000	1.90000	9.190	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	141-KG 	218	44.62000	1.50000	7.240	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	144-KG	2819	45.04000	0.94000	9.130	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	150-KG	4369	46.50000	-0.41000	9.000	SW Arabian Sea	Gaye-Haake et al. (2005)	
IIOE	167-KG	3368	42.15000	-5.02000	8.210	SW Arabian Sea	Gaye-Haake et al. (2005)	
Indus trans D	095 KG	2111	65.65100	22.48600	10.660	Indian	Gaye-Haake et al. (2005)	
Indus trans D	099 KG	1506	66.34800	22.93100	8.790	Indian	Gaye-Haake et al. (2005)	
Indus trans D	103 KG	1206	66.40200	23.02000	8.420	Indian	Gaye-Haake et al. (2005)	
Indus trans D	107 KG	992	66.50600	23.06100	8.200	Indian	Gaye-Haake et al. (2005)	
Indus trans D	110 KG	776	66.48400	23.09100	8.330	Indian	Gaye-Haake et al. (2005)	
Indus trans D	112 KG	572	66.49700	23.12200	8.000	Indian	Gaye-Haake et al. (2005)	
Indus trans D	113 KG	287	66.60700	23.19200	8.820	Indian	Gaye-Haake et al. (2005)	
Indus trans D	115 KG	1796	66.18600	22.73000	9.770	Indian	Gaye-Haake et al. (2005)	
Indus trans D	120 KG	96	66.89200	23.46700	9.360	Indian	Gaye-Haake et al. (2005)	
Indus trans D	124 KG	136	66.71300	23.27900	9.040	Indian	Gaye-Haake et al. (2005)	
Indus trans D	129 KG	185	66.66600	23.23800	10.010	Indian	Gaye-Haake et al. (2005)	
Indus trans D	135 KG	402	66.49200	23.18400	8.380	Indian	Gaye-Haake et al. (2005)	
Indus trans D	163 KG	239	66.63800	23.21700	9.780	Indian	Gaye-Haake et al. (2005)	
Indus trans D	164 KG	643	67.00700	22.79400	9.170	Indian	Gaye-Haake et al. (2005)	
Indus trans D	168 KG	1283	66.82200	22.64100	8.270	Indian	Gaye-Haake et al. (2005)	
Indus trans D	180 KG	398	66.85900	22.93400	8.430	Indian	Gaye-Haake et al. (2005)	
Indus trans D	183 KG	1543	66.70700	22.66000	8.200	Indian	Gaye-Haake et al. (2005)	
J-7		340	71.50000	17.20000	7.700	Indian	Gaye-Haake et al. (2005)	
Meteor 5	295	3117	59.39800	20.01000	9.250	Indian	Gaye-Haake et al. (2005)	
Meteor 5	304	1443	59.62300	21.17700	8.560	Indian	Gaye-Haake et al. (2005)	
Meteor 5	399	3602	59.39900	17.39200	9.400	Indian	Gaye-Haake et al. (2005)	
Meteor 5	400	3824	60.57700	18.32700	10.230	Indian	Gaye-Haake et al. (2005)	
Meteor 5	402	3482	64.67200	17.77200	10.850	Indian	Gaye-Haake et al. (2005)	
Meteor 5	406	2919	65.36200	19.21700	9.990	Indian	Gaye-Haake et al. (2005)	
Meteor 5	407	3163	64.80200	20.02800	10.600	Indian	Gaye-Haake et al. (2005)	
Meteor 5	409	3202	64.55800	20.30800	10.710	Indian	Gaye-Haake et al. (2005)	
Meteor 5	413	3232	64.71200	21.07300	10.050	Indian	Gaye-Haake et al. (2005)	
Meteor 5	414	3114	64.60700	21.24700	10.800	Indian	Gaye-Haake et al. (2005)	
Meteor 5	415	3303	64.71200	21.50300	10.660	Indian	Gaye-Haake et al. (2005)	
Meteor 5	416	1259	63.07200	22.10200	9.450	Indian	Gaye-Haake et al. (2005)	
Meteor 5	417	4038	62.66800	22.17800	10.230	Indian	Gaye-Haake et al. (2005)	
Meteor 5	418	1220	62.27800	22.24700	8.720	Indian	Gaye-Haake et al. (2005)	
Meteor 5	419	3100	61.93300	22.50000	9.750	Indian	Gaye-Haake et al. (2005)	
MO	434KL	460	37.68000	-18.05000	5.420	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	439KL	1210	37.85000	-18.13000	6.100	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	441KL	360	37.77000	-17.90000	5.790	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	461KL	820	38.30000	-17.67000	5.570	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	464KL	340	38.64000	-17.38000	5.000	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	468KL	300	38.92000	-17.28000	5.250	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	473aKL	302	39.14000	-17.15000	5.610	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	474KL	298	39.20000	-17.10000	4.970	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	501KL	264	39.78000	-16.61000	5.540	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	515bGR	695	40.28000	-16.12000	6.210	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	531KL	1990	40.86000	-15.97000	7.370	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	532RKL	1430	40.60000	-15.90000	6.860	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	538FGR	502	40.53000	-15.60000	6.270	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	545GR	912	40.63000	-15.59000	7.640	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	546GR	650	40.61000	-15.60000	6.950	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	547GR	405	40.60000	-15.60000	6.980	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	551RKL	2803	41.42000	-15.00000	7.200	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	554GR	516	40.65000	-15.12000	5.890	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	555FGR	755	40.70000	-15.15000	6.750	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	556GR	207	40.76000	-15.12000	6.480	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	561RKL	2560	41.31000	-16.00000	7.750	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	564KL	720	40.86000	-16.44000	6.100	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	567GR	264	40.19000	-16.25000	6.670	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	GR-432 	365	37.53000	-18.17000	5.360	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	KL-404 	1475	37.41000	-19.26000	6.700	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	KL-406 	1990	37.92000	-19.64000	7.490	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	KL-408  	1935	38.17000	-19.19000	7.160	Mozambique Channel	Gaye-Haake et al. (2005)	
MO	KL-409 	1765	37.92000	-19.09000	7.210	Mozambique Channel	Gaye-Haake et al. (2005)	
Murray Ridge C	87 KG	1782	64.21700	23.58900	9.800	Indian	Gaye-Haake et al. (2005)	
NAST		3182	65.68400	20.00000	10.580	Indian	Gaye-Haake et al. (2005)	
Ormara trans A	23	690	64.29333	24.87817	9.510	Indian	Gaye-Haake et al. (2005)	
Ormara trans A	01 KG	2678	64.27100	24.39700	7.500	Indian	Gaye-Haake et al. (2005)	
Ormara trans A	12 KG	789	64.30300	24.86100	7.430	Indian	Gaye-Haake et al. (2005)	
Ormara trans A	18 KG	228	64.29900	24.95700	7.210	Indian	Gaye-Haake et al. (2005)	
Ormara trans A	20 KG	993	64.30300	24.84600	7.440	Indian	Gaye-Haake et al. (2005)	
Paropkari	150-10	340	69.58000	19.53000	7.370	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	150-12	100	70.00000	19.78000	9.070	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	150-23	812	69.23000	19.44000	9.080	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	150-24	1300	69.18000	19.39000	8.950	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	167-3893	1570	75.62000	8.30000	7.440	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	167-3895	1210	75.90000	8.41000	7.600	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	167-3938	1480	76.98000	7.12000	5.850	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	167-3939	870	76.77000	7.07000	6.580	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	168-3951	270	67.87000	21.98000	8.560	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	168-3975	100	67.29000	22.75000	7.570	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	168-3977	150	67.18000	22.67000	8.430	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	189-2	1810	66.60000	20.33000	8.660	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	189-4	700	67.07000	22.72000	9.920	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	207-1	1313	72.55000	15.50000	5.370	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	207-2	1650	72.70000	14.55000	6.190	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	30-791	150	74.43000	12.10000	6.000	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	30-793	604	74.27000	12.07000	6.440	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	30-822	240	74.88000	11.27000	6.210	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	30-849	516	75.36000	10.48000	6.130	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	44-9	3679	70.02000	15.88000	4.420	E Arabian Sea	Gaye-Haake et al. (2005)	
Paropkari	83-1825	1300	71.02000	17.31000	7.680	E Arabian Sea	Gaye-Haake et al. (2005)	
SAST		4435	64.99600	10.05100	10.510	Indian	Gaye-Haake et al. (2005)	
So  119	2-4MUC	1000	65.31000	23.52000	8.040	Arabian Sea	Gaye-Haake et al. (2005)	
So  119	34-1MUC	2963	58.79000	18.74000	10.130	Arabian Sea	Gaye-Haake et al. (2005)	
So  119	37-1MUC	3377	60.05000	20.57000	10.460	Arabian Sea	Gaye-Haake et al. (2005)	
So  119	4-11MUC	3837	68.57000	15.56000	11.030	Arabian Sea	Gaye-Haake et al. (2005)	
So  119	45-1MUC	3345	60.10000	23.40000	8.210	Arabian Sea	Gaye-Haake et al. (2005)	
So  119	5-11MUC	3951	64.56000	14.44000	12.020	Arabian Sea	Gaye-Haake et al. (2005)	
So  90	95KG	2111	65.65000	22.49000	10.370	Arabian Sea	Gaye-Haake et al. (2005)	
SO 42	GB 58	3424	63.01700	20.90000	9.980	Indian	Gaye-Haake et al. (2005)	
SO 42	GB 93	4160	57.70800	9.92000	7.520	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 026	3556	68.76000	15.51400	8.200	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 036	2055	69.04500	17.07500	8.770	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 051	2644	65.55900	20.96500	7.520	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 064	3281	64.68400	19.77500	10.260	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 070	3810	61.69700	17.51200	10.490	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 074	3212	57.34700	14.32100	8.600	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 079	4351	58.32600	13.64700	8.850	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 082	4416	58.67700	12.68500	10.450	Indian	Gaye-Haake et al. (2005)	
SO 42	KL 109	4672	56.89900	0.61400	7.240	Indian	Gaye-Haake et al. (2005)	
SO 51 GB 06		4055	87.30000	4.50000	9.570	Indian	Gaye-Haake et al. (2005)	
SO 51 GB 14		3285	84.31700	13.11700	6.990	Indian	Gaye-Haake et al. (2005)	
SO 51 GB 23		2290	89.56700	17.40000	6.510	Indian	Gaye-Haake et al. (2005)	
SO 91	BG 23	3815	68.72000	15.67400	9.770	Indian	Gaye-Haake et al. (2005)	
SO 93	 126 KL		90.00000	20.00000	4.320	Indian	Gaye-Haake et al. (2005)	
SO 93	022 KL	4421	83.33900	0.75500	9.290	Indian	Gaye-Haake et al. (2005)	
SO 93	028 KL	4093	85.11900	4.50700	8.940	Indian	Gaye-Haake et al. (2005)	
SO 93	042 KL	3595	85.33800	9.65900	6.740	Indian	Gaye-Haake et al. (2005)	
SO 93	051 KL	3214	87.25500	12.28100	7.950	Indian	Gaye-Haake et al. (2005)	
SO 93	107 KL	90	89.76700	21.11100	3.980	Indian	Gaye-Haake et al. (2005)	
SO 93	120 KL		89.36700	17.50000	3.310	Indian	Gaye-Haake et al. (2005)	
SO 93	124 KL	1607	90.00000	19.63300	4.420	Indian	Gaye-Haake et al. (2005)	
VA-02	460GR	220	38.14000	-17.72000	5.930	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-02	515aVL	578	40.29000	-16.11000	7.430	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-02	515VL	470	40.31000	-16.11000	6.520	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-06	399VL	510	35.75000	-20.97000	5.380	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-06	401VL	755	35.85000	-20.99000	5.940	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-06	402VL	955	35.93000	-21.00000	6.110	Mozambique Channel	Gaye-Haake et al. (2005)	
VA-06	403VL	1050	35.96000	-20.98000	6.410	Mozambique Channel	Gaye-Haake et al. (2005)	
WAST		4023	60.30700	16.34200	10.040	Indian	Gaye-Haake et al. (2005)	
WAST-K		1916	59.76700	16.17500	9.800	Indian	Gaye-Haake et al. (2005)	
ZWI SO118		4168	62.75000	13.05100	11.500	Indian	Gaye-Haake et al. (2005)	
ZWII SO118		3977	62.33300	15.33300	11.000	Indian	Gaye-Haake et al. (2005)	
ZWIII SO118		3656	62.81400	18.01300	10.900	Indian	Gaye-Haake et al. (2005)	
HLY-08-02	1		188.86900	56.15000	5.293	Bering Sea	Granger et al. (2011)	
HLY-08-02	9		190.80730	57.91950	7.689	Bering Sea	Granger et al. (2011)	
HLY-08-02	20		190.20530	59.90317	7.840	Bering Sea	Granger et al. (2011)	
HLY-08-02	21		189.60170	59.90367	8.475	Bering Sea	Granger et al. (2011)	
HLY-08-02	23		188.43480	59.90900	8.294	Bering Sea	Granger et al. (2011)	
HLY-08-02	25		187.32020	59.87783	8.029	Bering Sea	Granger et al. (2011)	
HLY-08-02	27		185.97570	59.91100	7.620	Bering Sea	Granger et al. (2011)	
HLY-08-02	28		185.38220	59.90283	7.168	Bering Sea	Granger et al. (2011)	
HLY-08-02	31		183.58420	59.90200	6.854	Bering Sea	Granger et al. (2011)	
HLY-08-02	34		180.57380	59.90700	6.447	Bering Sea	Granger et al. (2011)	
HLY-08-02	38		184.89780	62.19783	8.672	Bering Sea	Granger et al. (2011)	
HLY-08-02	46		188.78980	61.96200	9.465	Bering Sea	Granger et al. (2011)	
HLY-08-02	59		188.74370	59.90417	8.765	Bering Sea	Granger et al. (2011)	
HLY-08-02	72		189.46120	56.72817	6.816	Bering Sea	Granger et al. (2011)	
HLY-08-02	73		189.46120	56.72817	6.255	Bering Sea	Granger et al. (2011)	
HLY-08-02	75		188.26730	57.82633	8.004	Bering Sea	Granger et al. (2011)	
HLY-08-02	76		184.71320	57.52200	5.944	Bering Sea	Granger et al. (2011)	
HLY-08-02	79		186.11930	58.16200	6.152	Bering Sea	Granger et al. (2011)	
HLY-08-02	87		184.18500	59.34950	6.344	Bering Sea	Granger et al. (2011)	
HLY-08-02	94		183.17480	58.58017	5.420	Bering Sea	Granger et al. (2011)	
HLY-08-02	106		184.02170	59.20167	6.167	Bering Sea	Granger et al. (2011)	
HLY-08-02	110		187.44220	62.26067	10.403	Bering Sea	Granger et al. (2011)	
		560	285.91667	-52.86667	7.850		Harada (unpublished)	acidified
GeoB 3301		970	288.01833	-33.14667	10.350	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3302		1502	287.91333	-33.21833	10.340	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3303		1983	287.82500	-33.20667	10.410	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3304		2413	287.80833	-32.89000	11.030	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3305		3029	287.57667	-32.85167	11.400	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3308		3620	286.25167	-33.13167	13.410	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3311		471	287.95333	-33.60667	9.920	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3312		583	285.66333	-41.00833	10.080	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3313		851	285.55000	-41.00000	10.240	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3314		1652	285.02000	-41.60333	10.310	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3316		2574	284.78667	-41.93667	10.080	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3317		2923	284.69833	-42.01333	10.040	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3318		3207	284.67833	-42.03833	10.030	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3323		3697	284.05000	-43.21833	10.140	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3326		3635	281.00000	-43.23333	9.520	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3327		3535	280.00833	-43.24000	9.060	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3347		4182	285.00000	-35.25000	12.060	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3349		2471	286.58000	-35.25167	10.190	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3352		2108	286.68333	-35.21667	10.300	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3353		3747	286.42333	-35.25000	10.590	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3354		3234	286.51167	-35.21667	10.650	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3355		1511	286.88333	-35.21833	10.640	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3357		2103	286.78000	-35.28333	10.190	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3359		680	287.19167	-35.21667	10.100	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3365		2450	287.73333	-32.28500	11.270	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3368		3240	288.04167	-30.36000	11.540	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3371		3458	287.98167	-30.36000	12.090	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3372		4409	286.71333	-29.93833	14.120	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3373		1580	288.79333	-27.50167	12.210	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3374		1352	288.82833	-27.47333	12.070	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3375		1948	288.74833	-27.46667	12.540	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3376		2437	288.63833	-27.46667	13.330	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3377		3576	288.47500	-27.46667	13.830	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3378		3286	288.50000	-27.50000	15.220	Eastern Pacific	Hebbeln et al. (2000)	
GeoB 3383		4207	287.00000	-28.25000	14.510	Eastern Pacific	Hebbeln et al. (2000)	
VG-40		1000	286.27167	-36.33500	9.860	Eastern Pacific	Hebbeln et al. (2000)	
ME0005A-11PC		574	264.71000	15.71000	6.560	Eastern Pacific	Hendy and Pedersen (2006)	
W7706-37		370	283.15000	-13.63330	7.089	Eastern Pacific	Higginson and Altabet (2004)	
W7706-40		186	282.03330	-11.25000	7.014	Eastern Pacific	Higginson and Altabet (2004)	
W7706-41		410	281.88330	-11.35000	6.735	Eastern Pacific	Higginson and Altabet (2004)	
24		6	12.56667	-6.03333	7.040	SE Atlantic	Holmes et al. (1996)	
26		6	12.48333	-6.06667	7.620	SE Atlantic	Holmes et al. (1996)	
GeoB 1000		106	11.70930	-5.69880	5.690	SE Atlantic	Holmes et al. (1996)	
GeoB 1001		45	11.97117	-5.86250	5.870	SE Atlantic	Holmes et al. (1996)	
GeoB 1005		237	11.50220	-6.23540	5.890	SE Atlantic	Holmes et al. (1996)	
GeoB 1006		682	11.30190	-6.28580	5.860	SE Atlantic	Holmes et al. (1996)	
GeoB 1007		1533	10.93810	-6.39620	6.640	SE Atlantic	Holmes et al. (1996)	
