# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-23
# Latitude:       17.59.36N	( 17.99333)
# Longitude:      57.35.24E	( 57.59)
# Water Depth(m): 820
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#             N%            Nitrogen percent
#             chlor         Chlorins (µg/g)
#
# CORE: RC27-23
depth	yrBP 	d15N	N%	chlor	
334.5	26984	5.65	0.2	1.976	
336.5	27103	6.09	0.22	1.956	
338.5	27223	5.1	0.11	2.255	
340.5	27342	5.03	0.11	-999	
342.5	27461	5.81	0.2	-999	
344.5	27557	5.91	0.22	1.886	
346.5	27629	6.93	0.26	1.537	
348.5	27700	6.75	0.23	2.291	
350.5	27772	6.7	0.24	3.61	
352.5	27844	5.79	0.2	2.125	
354.5	27959	4.86	0.15	1.952	
356.5	28074	5.08	0.15	1.479	
358.5	28189	5.17	0.17	1.527	
360.5	28304	5.71	0.17	1.411	
362.5	28419	5.32	0.15	1.232	
364.5	28534	5.47	0.15	1.079	
366.5	28649	5.64	0.19	1.555	
368.5	28759	5.73	0.18	1.491	
370.5	28868	6.63	0.2	2.108	
372.5	28978	7.19	0.26	2.131	
374.5	29077	5.49	0.13	2.147	
376.5	29165	5.43	0.13	1.47	
378.5	29254	4.84	0.11	1.043	
380.5	29342	4.73	0.11	0.819	
382.5	29430	5.03	0.12	1.049	
384.5	29518	4.98	0.12	1.077	
386.5	29606	4.86	0.12	1.074	
388.5	29695	5.64	0.22	0.721	
390.5	29783	4.9	0.13	1.227	
392.5	29871	5.5	0.13	1.11	
394.5	29959	5.33	0.12	0.751	
396.5	30048	5.31	0.1	0.814	
398.5	30136	6.28	0.25	0.863	
400.5	30224	5.35	0.11	0.792	
402.5	30312	5.52	0.11	0.689	
404.5	30401	5.39	0.12	0.746	
406.5	30489	5.54	0.14	0.88	
408.5	30577	5.64	0.13	0.882	
410.5	30665	5.69	0.14	0.964	
412.5	30753	5.66	0.15	1.065	
414.5	30842	4.97	0.15	1.257	
416.5	30930	5.72	0.14	1.053	
418.5	31018	5.36	0.13	0.963	
420.5	31106	5.51	0.18	1.513	
422.5	31195	4.66	0.2	1.58	
424.5	31283	5.12	0.18	1.703	
426.5	31371	5.56	0.18	1.297	
428.5	31459	5.72	0.18	1.443	
430.5	31547	5.5	0.16	1.168	
432.5	31636	5.7	0.2	1.364	
434.5	31724	5.66	0.19	1.248	
436.5	31802	5.76	0.16	1.42	
438.5	31870	5.58	0.18	1.513	
440.5	31937	5.84	0.23	1.543	
442.5	32005	6.25	0.2	-999	
444.5	32073	6.24	0.22	1.588	
446.5	32141	6.88	0.27	1.714	
448.5	32208	6.71	0.22	1.801	
450.5	32276	6.29	0.25	2.234	
452.5	32383	5.6	0.2	1.566	
454.5	32530	5.24	0.18	1.178	
456.5	32677	5.25	0.17	1.137	
458.5	32824	5.4	0.16	1.171	
460.5	32971	5.42	0.16	1.169	
462.5	33104	5.78	0.18	1.313	
464.5	33225	5.66	0.2	1.57	
466.5	33346	6.1	0.22	1.49	
468.5	33466	6.01	0.24	2.331	
470.5	33587	5.61	0.18	1.789	
472.5	33734	5.09	0.2	1.502	
474.5	33881	4.9	0.18	1.573	
476.5	34029	5.32	0.17	1.458	
478.5	34176	5.27	0.19	1.334	
480.5	34323	5.99	0.17	1.705	
482.5	34470	5.79	0.21	2.059	
484.5	34590	6.82	0.21	1.738	
486.5	34682	6.76	0.19	1.778	
488.5	34774	7.37	0.21	1.959	
490.5	34866	7.04	0.18	1.832	
492.5	34958	7.4	0.21	1.822	
494.5	35050	7.57	0.23	2.003	
496.5	35142	7.15	0.2	1.755	
498.5	35234	7.33	0.25	2.364	
500.5	35312	5.83	0.17	1.554	
502.5	35377	6.96	0.19	1.449	
504.5	35441	5.81	0.13	1.532	
506.5	35505	6.68	0.16	1.756	
508.5	35570	6.12	0.15	1.599	
510.5	35634	5.7	0.14	1.483	
512.5	35699	6.14	0.15	1.354	
514.5	35763	5.88	0.16	1.64	
516.5	35827	6.26	0.15	1.487	
518.5	35892	6.43	0.16	1.585	
520.5	35956	6.66	0.16	1.697	
522.5	36021	6.67	0.17	1.691	
524.5	36085	6.72	0.19	1.905	
526.5	36150	7.13	0.18	1.951	
528.5	36214	7.3	0.18	1.853	
530.5	36278	7.59	0.19	1.798	
532.5	36343	7	0.18	2.046	
534.5	36407	7.42	0.18	2.057	
536.5	36472	7.01	0.17	1.997	
538.5	36536	6.48	0.15	1.598	
540.5	36871	7.76	0.18	1.873	
542.5	37205	7.94	0.2	2.483	
544.5	37540	7.28	0.18	1.781	
546.5	37874	7.92	0.24	2.461	
548.5	38209	7.08	0.22	2.079	
550.5	38410	6.32	0.17	1.818	
552.5	38477	5.79	0.14	1.555	
554.5	38545	6.06	0.17	1.73	
556.5	38612	6.03	0.16	1.667	
558.5	38680	5.57	0.11	1.436	
560.5	38747	5.64	0.12	1.209	
562.5	38814	5.28	0.1	1	
564.5	38882	5.31	0.07	1.046	
566.5	38949	5.92	0.15	0.85	
568.5	39017	5.89	0.16	1.417	
570.5	39084	5.73	0.17	1.425	
572.5	39152	5.95	0.17	1.392	
574.5	39219	5.76	0.14	1.155	
576.5	39287	5.77	0.14	1.018	
578.5	39354	5.74	0.14	1.244	
580.5	39422	5.92	0.15	1.274	
582.5	39489	6.08	0.16	1.654	
584.5	39557	6.05	0.16	1.238	
586.5	39624	5.7	0.13	1.218	
588.5	39691	5.69	0.12	1.366	
590.5	39759	5.76	0.13	1.46	
592.5	39826	6.24	0.14	1.385	
594.5	39894	5.63	0.14	1.379	
596.5	39961	6.08	0.18	1.549	
598.5	40029	5.93	0.18	1.578	
600.5	40096	6.1	0.18	1.692	
602.5	40164	6.07	0.18	1.765	
604.5	40231	5.99	0.21	1.814	
606.5	40299	5.9	0.21	1.723	
608.5	40366	6.43	0.24	2.04	
610.5	40433	6.34	0.22	2.294	
