# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-14-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-14
# Latitude:       18.15.12N	( 18.25333)
# Longitude:      57.39.18E	( 57.655)
# Water Depth(m): 596
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#
# CORE: RC27-14
depth	yrBP 	d15N	
561.5	41376	5.58	
562.5	41410	5.85	
563.5	41444	6.49	
564.5	41478	6.3	
565.5	41513	5.93	
566.5	41547	5.5	
567.5	41581	5.78	
568.5	41615	5.72	
569.5	41649	5.85	
570.5	41683	6.14	
571.5	41717	6.14	
572.5	41751	6.19	
573.5	41785	6.62	
574.5	41823	6.46	
575.5	41866	7.34	
576.5	41909	7.52	
577.5	41952	7.8	
578.5	41995	7.68	
579.5	42038	7.45	
580.5	42080	7.72	
581.5	42123	7.05	
582.5	42166	8.04	
583.5	42209	8.28	
584.5	42252	8.02	
585.5	42294	7.87	
586.5	42337	8.4	
587.5	42380	7.51	
588.5	42423	7.83	
589.5	42466	7.64	
590.5	42509	7.18	
591.5	42541	6.14	
592.5	42564	5.23	
593.5	42587	4.72	
594.5	42610	5.01	
595.5	42633	5.45	
596.5	42655	6.11	
597.5	42678	6.56	
598.5	42701	5.71	
599.5	42724	6.05	
600.5	42746	5.96	
601.5	42769	5.46	
602.5	42792	5.51	
603.5	42815	5.83	
604.5	42838	6.02	
605.5	42860	5.93	
606.5	42883	5.34	
607.5	42906	5.55	
608.5	42929	5.24	
609.5	42951	5.24	
610.5	42974	5.84	
611.5	42997	5.85	
612.5	43020	5.58	
613.5	43043	5.16	
614.5	43065	5.23	
615.5	43088	5.36	
616.5	43111	5.83	
617.5	43134	6.46	
618.5	43165	6.75	
619.5	43205	6.92	
620.5	43246	7.25	
621.5	43286	7.41	
622.5	43326	7.81	
623.5	43367	7.75	
624.5	43407	7.57	
625.5	43447	7.04	
626.5	43487	7.14	
627.5	43528	7.09	
628.5	43568	7.19	
629.5	43608	7.01	
630.5	43648	7.67	
631.5	43689	7.85	
632.5	43729	8	
633.5	43769	7.99	
634.5	43810	7.69	
635.5	43850	8.15	
636.5	43890	8.15	
637.5	43930	8.01	
638.5	43971	8.27	
639.5	44011	8.24	
640.5	44051	8.36	
641.5	44091	8.77	
642.5	44132	8.83	
643.5	44172	8.36	
644.5	44212	8.97	
645.5	44253	9.29	
646.5	44293	9.1	
647.5	44333	8.58	
648.5	44373	8.9	
649.5	44414	8.6	
650.5	44454	8.16	
651.5	44494	7.78	
652.5	44534	7.48	
653.5	44575	7.32	
654.5	44615	8.5	
655.5	44655	8.21	
656.5	44696	9.02	
657.5	44736	9.19	
658.5	44776	9.17	
659.5	44816	9.22	
660.5	44857	8.94	
661.5	44897	9.17	
662.5	44937	9.39	
663.5	44977	9.4	
664.5	45018	9.41	
665.5	45058	9.08	
666.5	45098	8.75	
667.5	45139	7.92	
668.5	45179	8.85	
669.5	45219	8.88	
670.5	45259	8.77	
671.5	45300	8.39	
672.5	45340	7.8	
673.5	45377	6.05	
674.5	45411	5.25	
675.5	45445	5.39	
676.5	45479	5.47	
677.5	45512	5.58	
678.5	45546	5.59	
679.5	45580	5.39	
680.5	45614	5.5	
681.5	45648	5.58	
682.5	45682	5.57	
683.5	45716	5.62	
684.5	45750	5.51	
685.5	45783	6.04	
686.5	45817	5.64	
687.5	45851	5.89	
688.5	45885	5.83	
689.5	45919	6.31	
690.5	45953	6.2	
691.5	45987	6.1	
692.5	46020	5.91	
693.5	46054	6.36	
694.5	46088	6.42	
695.5	46122	6.39	
696.5	46156	6.7	
697.5	46190	6.26	
698.5	46224	5.82	
699.5	46258	5.99	
700.5	46291	6.47	
701.5	46325	5.97	
702.5	46359	5.74	
703.5	46393	6.01	
